CONTRACT_ID;CLIENT_ID;TERM;CONTRACT_SUM;GENDER;AGE;LOAN_TO_INCOME;PAYMENT_TO_INCOME;DOWNPAYMENT;CAR_CATEGORY;GRACE_PERIOD;RATE_CHANGE_AFTER_GRACE
17922714;255027;60;1644.75;F;32;18;0.42;0.30;2;6;13
17929602;255038;84;2251.4;F;23;12;0.23;0.10;2;12;1
17929957;255045;84;1129.23;M;52;9;0.18;0.70;3;12;15
17930007;255047;60;1421.37;M;36;19;0.44;0.20;2;12;9
17930051;255050;48;1280;M;58;16;0.4;0.30;2;0;0
17930450;255060;18;375.62;M;48;3;0.18;0.80;2;18;15
17930992;255069;12;918;M;52;7;0.57;0.50;2;12;15
17932134;84825;84;1956.64;M;27;7;0.14;0.10;2;12;1
17933076;255081;60;1133.65;M;53;10;0.23;0.30;2;6;13
17935505;255102;84;1530;M;45;22;0.43;0.50;3;12;1
17942183;255122;60;535.5;M;41;5;0.11;0.80;2;6;13
17942324;255123;60;1205.56;F;26;13;0.3;0.10;1;0;0
17946592;255130;60;1438.2;F;42;16;0.38;0.30;2;12;9
17946710;8924;48;982.26;M;41;13;0.32;0.50;2;0;0
17947345;255136;12;980.61;M;45;3;0.25;0.60;2;12;15
17949541;255163;18;506.74;M;34;6;0.31;0.70;2;18;15
17954354;255175;84;2804.66;M;41;18;0.35;0.30;3;12;1
17964148;255207;12;1350.55;M;60;7;0.6;0.60;3;12;15
17964261;255161;48;818.55;M;54;8;0.21;0.30;1;0;0
17965290;255225;84;1583.47;F;42;8;0.15;0.20;2;12;1
17966884;255242;48;1982.88;M;45;15;0.38;0.10;2;0;0
17966968;255243;48;880.52;M;56;7;0.17;0.30;1;0;0
17967411;145165;84;886.41;M;49;7;0.14;0.60;2;12;15
17971689;255256;12;935.9;M;49;6;0.51;0.60;2;12;15
17998711;255273;60;1982.88;F;44;17;0.39;0.10;2;12;9
17998889;255274;60;1405.31;M;28;15;0.33;0.20;2;6;13
18004363;255323;48;1409.13;M;35;13;0.32;0.20;2;0;0
18006087;255329;12;844.94;M;36;7;0.61;0.60;2;12;15
18006484;255333;18;476.67;M;40;6;0.36;0.70;2;18;15
18011168;255345;60;422.28;M;48;5;0.13;0.70;2;6;14
18012860;255364;12;765;F;57;5;0.39;0.70;2;12;15
18022792;255387;12;1530;F;31;20;1.67;0.60;3;12;15
